Codigo;Nombre del proveedor;Tipo de servicio;Importe en soles;Mes;
439921;LUZ DEL SUR      ;Servicios Publicos;35132.4;Enero;
439921;LUZ DEL SUR      ;Servicios Publicos;4214.6;Enero;
439921;LUZ DEL SUR      ;Servicios Publicos;39129.8;Enero;
440948;SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;1175.8;Enero;
440954;Sedapar        ;Servicios Publicos;158.3;Enero;
441357;MUNICIPALIDAD DISTRITAL DEL RIMAC     ;Impuestos;7954.5;Enero;
441655;EMAPA-HUARAL S.A.;Servicios Publicos;234;Enero;
443773;SERVICIO DE ADMINISTRACION TRIBUTARIA DE CHICLAYO - SATCH ;Impuestos;264.35;Enero;
464191;AUSA ADUANAS S.A.;Comex;2159.4;Enero;
484338;KALLPA GENERACION S.A.;Servicios Publicos;8573.75;Enero;
484338;KALLPA GENERACION S.A.;Servicios Publicos;2871188.48;Enero;
439122;LIMA GAS S.A.      ;Servicios Publicos;1070.79;Enero;
439921;LUZ DEL SUR      ;Servicios Publicos;4502.2;Enero;
440954;Sedapar        ;Servicios Publicos;174888.9;Enero;
441127;ELECTRO DUNAS       ;Servicios Publicos;3578.5;Enero;
441223;ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;40.9;Enero;
441391;HIDRANDINA        ;Servicios Publicos;9943.7;Enero;
441391;HIDRANDINA        ;Servicios Publicos;4148.4;Enero;
441445;eps Seda Cusco      ;Servicios Publicos;386315;Enero;
445227;EMPRESA MUNICIPAL AGUA POTABLE Y AL   ;Servicios Publicos;259.2;Enero;
439918;Quimpac SA       ;Suministros para produccion;56778.06;Enero;
441078;EMP REG DE SERV PUB DE ELECT DL NOR;Servicios Publicos;11114.4;Enero;
441353;Superintendencia del Mercado de Valores    ;Valores ;4.27;Enero;
441353;Superintendencia del Mercado de Valores    ;Valores ;47258.29;Enero;
458643;Tupay Quispe Alejandra      ;Alquiler;6000;Enero;
461192;Montes Salinas Luis Gualberto     ;Alquiler;54000;Enero;
467013;NEOGAS PERU SOCIEDAD ANONIMA     ;Servicios Publicos;248417.06;Enero;
481455;ONCOSALUD SAC;People;8822.78;Enero;
482293;Nouchi Zea       ;Alquiler;9500;Enero;
482744;RELSA        ;Alquiler;34625.72;Enero;
439122;LIMA GAS S.A.      ;Servicios Publicos;356.93;Febrero;
439189;SEDAPAL        ;Servicios Publicos;63521.6;Febrero;
439828;ENEL DISTRIBUCION PERU S.A.A     ;Servicios Publicos;16141.5;Febrero;
441127;ELECTRO DUNAS       ;Servicios Publicos;3140;Febrero;
441223;ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;3065.15;Febrero;
441240;EMP.REG.SERV.PUB.ELECT.ELECTROSUR S       ;Servicios Publicos;1631.35;Febrero;
441391;HIDRANDINA        ;Servicios Publicos;5341.1;Febrero;
484338;KALLPA GENERACION S.A.;Servicios Publicos;2939319.09;Febrero;
T13868;COESTI S.A.       ;Servicios Publicos;80550.26;Febrero;
441621;sind obreros cerveceros;People;77490;Febrero;
483421;Cooperativa Finantel       ;People;40210.38;Febrero;
902496;cooperativa de servicios multiples;People;131728.75;Febrero;
903090;SINTRAEBACKUS;People;10000;Febrero;
440837;RIMAC SEGUROS Y REASEGUROS  - VALIDARLO;Seguros;729059.19;Febrero;
464191;AUSA ADUANAS S.A.;Comex;60000;Febrero;
483421;Cooperativa Finantel       ;People;46751.67;Febrero;
902496;cooperativa de servicios multiples;People;33604.7;Febrero;
440302;Repsol Comercial SAC      ;Servicios Publicos;379234.17;Febrero;
441070;441070 ELECTRONOROESTE S.A      ;Servicios Publicos;3756;Febrero;
441127;ELECTRO DUNAS       ;Servicios Publicos;1834;Febrero;
441223;ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;2113.05;Febrero;
441333;ELECTROCENTRO        ;Servicios Publicos;622.6;Febrero;
441384;SEDALIB S.A.       ;Servicios Publicos;3073.9;Febrero;
441444;SEDACHIMBOTE S.A.       ;Servicios Publicos;3029.5;Febrero;
441445;eps Seda Cusco      ;Servicios Publicos;1749.2;Febrero;
445715;DIRECTV  PERU SRL;Servicios Publicos;1314.51;Febrero;
T13868;COESTI S.A.       ;Servicios Publicos;299617.56;Febrero;
439141;RANSA COMERCIAL S.A.      ;Operador Logistico;843895.79;Febrero;
439189;SEDAPAL        ;Servicios Publicos;9649.79;Febrero;
439189;SEDAPAL        ;Servicios Publicos;4809.6;Febrero;
439575;SENATI        ;Impuestos;1699.2;Febrero;
439918;Quimpac SA       ;Suministros para produccion;50151.95;Febrero;
439918;Quimpac SA       ;Suministros para produccion;70692.53;Febrero;
440302;Repsol Comercial SAC      ;Servicios Publicos;379234.17;Febrero;
