Nombre del proveedor;Tipo de servicio;Importe en soles;Mes
SERVICIO DE ADMINISTRACION TRIBUTARIA DE CHICLAYO - SATCH ;Impuestos;264.35;Enero
AUSA ADUANAS S.A.;Comex;2,159.40;Enero
KALLPA GENERACION S.A.;Servicios Publicos;8,573.75;Enero
KALLPA GENERACION S.A.;Servicios Publicos;2,871,188.48;Enero
LIMA GAS S.A.      ;Servicios Publicos;1,070.79;Enero
LUZ DEL SUR      ;Servicios Publicos;4,502.20;Enero
Sedapar        ;Servicios Publicos;174,888.90;Enero
ELECTRO DUNAS       ;Servicios Publicos;3,578.50;Enero
ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;40.9;Enero
HIDRANDINA        ;Servicios Publicos;9,943.70;Enero
HIDRANDINA        ;Servicios Publicos;4,148.40;Enero
eps Seda Cusco      ;Servicios Publicos;386,315.00;Enero
EMPRESA MUNICIPAL AGUA POTABLE Y AL   ;Servicios Publicos;259.2;Enero
Quimpac SA       ;Suministros para produccion;56,778.06;Enero
EMP REG DE SERV PUB DE ELECT DL NOR;Servicios Publicos;11,114.40;Enero
Superintendencia del Mercado de Valores    ;Valores ;4.27;Enero
Superintendencia del Mercado de Valores    ;Valores ;47,258.29;Enero
Tupay Quispe Alejandra      ;Alquiler;6,000.00;Enero
Montes Salinas Luis Gualberto     ;Alquiler;54,000.00;Enero
NEOGAS PERU SOCIEDAD ANONIMA     ;Servicios Publicos;248,417.06;Enero
ONCOSALUD SAC;People;8,822.78;Enero
Nouchi Zea       ;Alquiler;9,500.00;Enero
RELSA        ;Alquiler;34,625.72;Enero
LIMA GAS S.A.      ;Servicios Publicos;356.93;Febrero
SEDAPAL        ;Servicios Publicos;63,521.60;Febrero
ENEL DISTRIBUCION PERU S.A.A     ;Servicios Publicos;16,141.50;Febrero
ELECTRO DUNAS       ;Servicios Publicos;3,140.00;Febrero
ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;3,065.15;Febrero
EMP.REG.SERV.PUB.ELECT.ELECTROSUR S       ;Servicios Publicos;1,631.35;Febrero
HIDRANDINA        ;Servicios Publicos;5,341.10;Febrero
KALLPA GENERACION S.A.;Servicios Publicos;2,939,319.09;Febrero
COESTI S.A.       ;Servicios Publicos;80,550.26;Febrero
sind obreros cerveceros;People;77,490.00;Febrero
Cooperativa Finantel       ;People;40,210.38;Febrero
cooperativa de servicios multiples;People;131,728.75;Febrero
SINTRAEBACKUS;People;10,000.00;Febrero
RIMAC SEGUROS Y REASEGUROS  - VALIDARLO;Seguros;729,059.19;Febrero
AUSA ADUANAS S.A.;Comex;60,000.00;Febrero
Cooperativa Finantel       ;People;46,751.67;Febrero
cooperativa de servicios multiples;People;33,604.70;Febrero
Repsol Comercial SAC      ;Servicios Publicos;379,234.17;Febrero
441070 ELECTRONOROESTE S.A      ;Servicios Publicos;3,756.00;Febrero
ELECTRO DUNAS       ;Servicios Publicos;1,834.00;Febrero
ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;2,113.05;Febrero
ELECTROCENTRO        ;Servicios Publicos;622.6;Febrero
SEDALIB S.A.       ;Servicios Publicos;3,073.90;Febrero
SEDACHIMBOTE S.A.       ;Servicios Publicos;3,029.50;Febrero
eps Seda Cusco      ;Servicios Publicos;1,749.20;Febrero
DIRECTV  PERU SRL;Servicios Publicos;1,314.51;Febrero
COESTI S.A.       ;Servicios Publicos;299,617.56;Febrero
RANSA COMERCIAL S.A.      ;Operador Logistico;843,895.79;Febrero
SEDAPAL        ;Servicios Publicos;9,649.79;Febrero
SEDAPAL        ;Servicios Publicos;4,809.60;Febrero
SENATI        ;Impuestos;1,699.20;Febrero
Quimpac SA       ;Suministros para produccion;50,151.95;Febrero
Quimpac SA       ;Suministros para produccion;70,692.53;Febrero
Repsol Comercial SAC      ;Servicios Publicos;379,234.17;Febrero
MUNICIPALIDAD PROVINCIAL DEL CUSCO     ;Impuestos;2,400.00;Febrero
PERURAIL        ;Transportadora ;19,698.96;Febrero
RIMAC EPS       ;People;2,286,428.96;Febrero
RIMAC EPS       ;People;958,022.86;Febrero
Nouchi Zea       ;Alquiler;9,500.00;Febrero
RELSA        ;Alquiler;62,978.62;Febrero
RELSA        ;Alquiler;12,166.38;Febrero
COESTI S.A.       ;Servicios Publicos;51,091.64;Febrero
SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;18.1;Febrero
SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;18.1;Febrero
ELECTRO DUNAS       ;Servicios Publicos;3,311.00;Febrero
SEDAM HUANCAYO S.A.      ;Servicios Publicos;702.1;Febrero
ELECTROCENTRO        ;Servicios Publicos;11,172.40;Febrero
ELECTROCENTRO        ;Servicios Publicos;11,172.40;Febrero
eps Seda Cusco      ;Servicios Publicos;430,895.90;Febrero
eps Seda Cusco      ;Servicios Publicos;430,895.90;Febrero
ENT.PREST.SERVICIOS DE SANEAMIENTO      ;Servicios Publicos;577.5;Febrero
GAS NATURAL DE LIMA Y CALLAO S.A.;Servicios Publicos;1,206,239.20;Febrero
EMAPA CANETE SA      ;Servicios Publicos;582.8;Febrero
EMAPA HUANCAVELICA S.A.C.;Servicios Publicos;180;Febrero
EMAPA HUANCAVELICA S.A.C.;Servicios Publicos;180;Febrero
COESTI S.A.       ;Servicios Publicos;91,541.49;Febrero
COESTI S.A.       ;Servicios Publicos;91,541.49;Febrero
SEDAPAL        ;Servicios Publicos;22,874.70;Febrero
SEDAPAL        ;Servicios Publicos;71,309.50;Febrero
Quimpac SA       ;Suministros para produccion;56,643.54;Febrero
Quimpac SA       ;Suministros para produccion;286,790.41;Febrero
RIMAC SEGUROS Y REASEGUROS  - VALIDARLO;Seguros;364.62;Febrero
SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;1,178.30;Febrero
441070 ELECTRONOROESTE S.A      ;Servicios Publicos;14,849.90;Febrero
ENTIDAD PREST.DE SS.DE SANEAM. GRAU    ;Servicios Publicos;975.7;Febrero
Poma de Romero      ;Alquiler;5,335.00;Febrero
ELECTRO PUNO S.A.A.      ;Servicios Publicos;5,754.10;Febrero
RIMAC EPS       ;People;10,465.48;Febrero
Tupay Quispe Alejandra      ;Alquiler;6,000.00;Febrero
ONCOSALUD SAC;People;8,610.97;Febrero
AUSA ADUANAS S.A.;Comex;86,268.00;Febrero
LUZ DEL SUR      ;Servicios Publicos;4,387.70;Febrero
Sedapar        ;Servicios Publicos;117.8;Febrero
441070 ELECTRONOROESTE S.A      ;Servicios Publicos;6.4;Febrero
EMP REG DE SERV PUB DE ELECT DL NOR;Servicios Publicos;58,612.46;Febrero
MUNICIPALIDAD PROVINCIAL DE MAYNAS     ;Impuestos;551.02;Febrero
MUNICIPALIDAD PROVINCIAL DE MAYNAS     ;Impuestos;959.79;Febrero
ELECTRO DUNAS       ;Servicios Publicos;3,500.00;Febrero
ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;2,364.25;Febrero
EMP.REG.SERV.PUB.ELECT.ELECTROSUR S       ;Servicios Publicos;3,202.90;Febrero
MUNICIPALIDAD DISTRITAL DEL RIMAC     ;Impuestos;134,186.16;Febrero
MUNICIPALIDAD DISTRITAL DEL RIMAC     ;Impuestos;677,218.30;Febrero
HIDRANDINA        ;Servicios Publicos;4,228.00;Febrero
SEDACHIMBOTE S.A.       ;Servicios Publicos;1,786.40;Febrero
eps Seda Cusco      ;Servicios Publicos;1,519.80;Febrero
MUNICIPALIDAD PROVINCIAL DE TACNA     ;Impuestos;4,981.48;Febrero
MUNICIPALIDAD PROVINCIAL DE TACNA     ;Impuestos;9,279.60;Febrero
MUNICIPALIDAD DISTRITAL DE WANCHAQ     ;Impuestos;1,680.00;Febrero
MUNICIPALIDAD DISTRITAL DE WANCHAQ     ;Impuestos;2,938.00;Febrero
MUNICIPALIDAD PROVINCIAL DEL CUSCO     ;Impuestos;184,206.72;Febrero
MUNICIPALIDAD DISTRITAL DE SACHACA     ;Impuestos;2,104.41;Febrero
MUNICIPALIDAD DISTRITAL DE SACHACA     ;Impuestos;174,508.72;Febrero
EMPRESA MUNICIPAL AGUA POTABLE Y AL   ;Servicios Publicos;266.9;Febrero
MUNICIPALIDAD DISTRITAL DE ATE     ;Impuestos;224,285.16;Febrero
MUNICIPALIDAD DISTRITAL DE ATE     ;Impuestos;681,900.50;Febrero
MUNICIPALIDAD PROVINCIAL DE CAMANA     ;Impuestos;477;Febrero
MUNICIPALIDAD PROVINCIAL DE CAMANA     ;Impuestos;4,952.96;Febrero
MUNICIPALIDAD PROVINCIAL DE NASCA     ;Impuestos;8,411.52;Febrero
MUNICIPALIDAD PROVINCIAL DE NASCA     ;Impuestos;11,574.37;Febrero
MUNICIPALIDAD DISTRITAL DE POCOLLAY     ;Impuestos;784.37;Febrero
MUNICIPALIDAD DISTRITAL DE POCOLLAY     ;Impuestos;14,252.42;Febrero
NEOGAS PERU SOCIEDAD ANONIMA     ;Servicios Publicos;273,774.94;Febrero
MUNICIPALIDAD DISTRITAL DE SAUSA     ;Impuestos;1,841.08;Febrero
MUNICIPALIDAD DISTRITAL DE PUNCHANA     ;Impuestos;434.16;Febrero
MUNICIPALIDAD DISTRITAL DE PUNCHANA     ;Impuestos;1,243.60;Febrero
MUNICIPALIDAD PROVINCIAL DEL CALLAO     ;Impuestos;55,361.84;Febrero
MUNICIPALIDAD PROVINCIAL DEL CALLAO     ;Impuestos;61,875.78;Febrero
RANSA COMERCIAL S.A.      ;Operador Logistico;29,030.96;Febrero
Quimpac SA       ;Suministros para produccion;147,587.50;Febrero
Superintendencia del Mercado de Valores    ;Valores ;42,532.46;Febrero
HIDRANDINA        ;Servicios Publicos;5,006.00;Febrero
ONCOSALUD SAC;People;185,612.89;Febrero
MUNICIPALIDAD PROVINCIAL DE TALARA     ;Impuestos;11,999.60;Marzo
MUNICIPALIDAD PROVINCIAL DE TALARA     ;Impuestos;15,789.40;Marzo
Repsol Comercial SAC      ;Servicios Publicos;93,536.50;Marzo
Sedapar        ;Servicios Publicos;175,440.10;Marzo
ELECTRO SUR ESTE S.A.A.     ;Servicios Publicos;2,656.50;Marzo
E.P.S. ILO S.A.      ;Servicios Publicos;143.3;Marzo
KALLPA GENERACION S.A.;Servicios Publicos;2,776,744.46;Marzo
sind obreros cerveceros;People;63,460.00;Marzo
Cooperativa Finantel       ;People;129,741.65;Marzo
cooperativa de servicios multiples;People;144,258.60;Marzo
SINTRAEBACKUS;People;9,090.00;Marzo
MUNICIPALIDAD PROVINCIAL DEL CUSCO     ;Impuestos;6,180.00;Marzo
AUSA ADUANAS S.A.;Comex;5,223.08;Marzo
AUSA ADUANAS S.A.;Comex;49,816.74;Marzo
