Region_Comercial,Subregion_Comercial,Locacion_Comercial,AGRUP_PIVO,CANAL,Marca,Tamano,EMPAQUE,Retornable,Agrup_Producto,MES,MES_CUOTA, AL_CUOTA ,AL_VENTA_2017,AL_VENTA_2018,AL_VENTA_2019,YEAR_2018,YEAR_2019
REGION MODERNO,AUTOSERVICIOS,TOTTUS,SS Y HH ,MODERNO,MIXTOS,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,ABRIL,112508,112508,79420,76067,158358,351405,642015
REGION MODERNO,AUTOSERVICIOS,TOTTUS,SS Y HH ,MODERNO,MIXTOS,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,ABRIL,6573,6573,3068,3043,7662,17141,28495
REGION MODERNO,CUENTAS CLAVES,RUSTICA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,38,38,44,51,59,252,203
REGION MODERNO,CUENTAS CLAVES,REPSOL,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,7,7,6,11,36,60,67
REGION MODERNO,CUENTAS CLAVES,PRIMAX,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,43,43,86,52,67,221,210
REGION MODERNO,CUENTAS CLAVES,PIZZA HUT,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,1,1,8,0,0,2,2
REGION MODERNO,CUENTAS CLAVES,PECSA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,15,15,16,32,20,103,70
REGION MODERNO,CUENTAS CLAVES,FRIDAYS,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,14,14,13,13,8,44,46
REGION MODERNO,CUENTAS CLAVES,EL POLLO REAL,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,8,8,6,6,3,25,16
REGION MODERNO,CUENTAS CLAVES,CASA ANDINA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,33,33,0,27,35,57,114
REGION MODERNO,AUTOSERVICIOS,TOTTUS,SS Y HH ,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,500,500,290,176,456,1454,1712
REGION MODERNO,AUTOSERVICIOS,MAKRO,CASH Y CARRY,VERTICAL,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,468,468,143,498,418,2248,1447
REGION MODERNO,CUENTAS CLAVES,RUSTICA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,88,88,227,149,125,755,458
REGION MODERNO,CUENTAS CLAVES,ROKYS,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,2,2,0,0,-13,0,0
REGION MODERNO,CUENTAS CLAVES,REPSOL,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,67,67,38,35,65,173,290
REGION MODERNO,CUENTAS CLAVES,PRIMAX,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,344,344,403,311,246,1598,1224
REGION MODERNO,CUENTAS CLAVES,PIZZA HUT,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,5,0,2,10,3
REGION MODERNO,CUENTAS CLAVES,PECSA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,36,36,11,24,32,142,165
REGION MODERNO,CUENTAS CLAVES,NORKYS,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,10,0,0,3,0
REGION MODERNO,CUENTAS CLAVES,LAS CANASTAS,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,1,1,0,2,3,2,8
REGION MODERNO,CUENTAS CLAVES,FRIDAYS,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,13,13,19,14,11,51,67
REGION MODERNO,CUENTAS CLAVES,CASINO FIESTA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,4,4,0,5,3,21,10
REGION MODERNO,CUENTAS CLAVES,CASA ANDINA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,66,66,30,51,57,209,273
REGION MODERNO,AUTOSERVICIOS,WONG,SS Y HH ,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,168,168,136,122,97,525,482
REGION MODERNO,AUTOSERVICIOS,TOTTUS,SS Y HH ,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,990,990,514,329,946,2796,3423
REGION MODERNO,AUTOSERVICIOS,MAKRO,CASH Y CARRY,VERTICAL,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,488,488,360,382,243,1729,1972
REGION MODERNO,CUENTAS CLAVES,TAMBO,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,10177,10177,1999,7482,2853,25129,23620
REGION MODERNO,CUENTAS CLAVES,SAN FERNANDO,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,32,32,68,32,29,206,108
REGION MODERNO,CUENTAS CLAVES,RUSTICA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,879,879,1163,1067,1121,4743,4118
REGION MODERNO,CUENTAS CLAVES,ROKYS,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,20,20,14,22,24,98,81
REGION MODERNO,CUENTAS CLAVES,REPSOL,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,695,695,1186,803,669,3491,2814
REGION MODERNO,CUENTAS CLAVES,PRIMAX,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,1153,1153,1372,1071,1107,5045,4405
REGION MODERNO,CUENTAS CLAVES,POLLOS TITOS,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,8,8,2,3,6,30,22
REGION MODERNO,CUENTAS CLAVES,PLANET CHICKEN,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,11,14,0,49,0
REGION MODERNO,CUENTAS CLAVES,PIZZA HUT,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,9,9,130,6,6,35,30
REGION MODERNO,CUENTAS CLAVES,PETROPERU,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,38,38,74,35,60,341,347
REGION MODERNO,CUENTAS CLAVES,PECSA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,404,404,412,434,358,2262,1705
REGION MODERNO,CUENTAS CLAVES,PARDOS,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,42,42,142,81,59,426,216
REGION MODERNO,CUENTAS CLAVES,NORKYS,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,13,0,0,-8,0
REGION MODERNO,CUENTAS CLAVES,MADAM TUSAN,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,5,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,LA ROMANA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,1,1,0,2,0,6,0
REGION MODERNO,CUENTAS CLAVES,LA PANKA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,19,19,24,22,22,33,84
REGION MODERNO,CUENTAS CLAVES,GRUPO KONG,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,32,32,70,154,30,552,146
REGION MODERNO,CUENTAS CLAVES,GAZEL,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,48,48,54,54,22,312,197
REGION MODERNO,CUENTAS CLAVES,FRIDAYS,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,242,242,143,203,296,812,1146
REGION MODERNO,CUENTAS CLAVES,ENERGIGAS,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,36,36,10,65,46,242,143
REGION MODERNO,CUENTAS CLAVES,EMBARCADERO 41,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,119,119,78,100,122,441,604
REGION MODERNO,CUENTAS CLAVES,EL HORNERO,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,0,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,EL CORRALITO,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,1,1,0,0,0,0,3
REGION MODERNO,CUENTAS CLAVES,CHILIS,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,57,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,CASA ANDINA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,32,32,0,21,24,30,101
REGION MODERNO,CUENTAS CLAVES,CANDY MARKET,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,126,126,163,97,111,594,553
REGION MODERNO,CUENTAS CLAVES,CALA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,0,0,8,0,8
REGION MODERNO,CUENTAS CLAVES,AYAHUASCA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,65,65,111,59,86,246,315
REGION MODERNO,AUTOSERVICIOS,WONG,SS Y HH ,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,6023,6023,8676,4298,4007,21675,17201
REGION MODERNO,AUTOSERVICIOS,TOTTUS,SS Y HH ,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,5107,5107,3529,3832,4504,20849,15948
REGION MODERNO,AUTOSERVICIOS,MAKRO,CASH Y CARRY,VERTICAL,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,2675,2675,5393,2585,3108,13186,12323
REGION MODERNO,CUENTAS CLAVES,RUSTICA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,19,19,89,17,11,174,51
REGION MODERNO,CUENTAS CLAVES,NORKYS,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,3,0,3,0,3
REGION MODERNO,CUENTAS CLAVES,CASA ANDINA,CUENTAS CLAVES,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,5,5,0,0,0,0,14
REGION MODERNO,AUTOSERVICIOS,TOTTUS,SS Y HH ,MODERNO,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,122,122,94,82,83,302,500
REGION MODERNO,AUTOSERVICIOS,MAKRO,CASH Y CARRY,VERTICAL,SCHWEPPES,FAMILIAR,1.5 LTS,NO RETORNABLE,GASEOSAS,ABRIL,39,39,24,81,38,130,257
REGION MODERNO,CUENTAS CLAVES,PRIMAX,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,4,6,0,35,0
REGION MODERNO,AUTOSERVICIOS,TOTTUS,SS Y HH ,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,33,24,0,248,0
REGION MODERNO,CUENTAS CLAVES,PRIMAX,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,7,4,0,9,0
REGION MODERNO,CUENTAS CLAVES,PECSA,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,0,7,0,39,0
REGION MODERNO,CUENTAS CLAVES,CHINA WOK,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,0,0,0,0,0
REGION MODERNO,AUTOSERVICIOS,WONG,SS Y HH ,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,3,26,0,138,0
REGION MODERNO,AUTOSERVICIOS,TOTTUS,SS Y HH ,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,72,104,0,642,0
REGION MODERNO,CUENTAS CLAVES,TAMBO,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,618,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,SAN FERNANDO,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,24,26,0,137,0
REGION MODERNO,CUENTAS CLAVES,ROKYS,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,6,0,0,0,0
REGION MODERNO,CUENTAS CLAVES,REPSOL,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,235,55,0,348,0
REGION MODERNO,CUENTAS CLAVES,PRIMAX,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,280,116,0,371,0
REGION MODERNO,CUENTAS CLAVES,POPEYES,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,0,4,0,4,0
REGION MODERNO,CUENTAS CLAVES,PETROPERU,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,2,4,0,37,0
REGION MODERNO,CUENTAS CLAVES,PECSA,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,44,67,0,280,0
REGION MODERNO,CUENTAS CLAVES,PAPA JOHNS,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,0,7,0,7,0
REGION MODERNO,CUENTAS CLAVES,PAPACHOS,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,0,2,0,2,0
REGION MODERNO,CUENTAS CLAVES,ENERGIGAS,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,4,0,0,9,0
REGION MODERNO,CUENTAS CLAVES,DON BELISARIO,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,0,57,0,57,0
REGION MODERNO,CUENTAS CLAVES,CANDY MARKET,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,57,54,0,141,0
REGION MODERNO,CUENTAS CLAVES,BEMBOS,CUENTAS CLAVES,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,0,26,0,26,0
REGION MODERNO,AUTOSERVICIOS,WONG,SS Y HH ,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,1444,982,0,5097,0
REGION MODERNO,AUTOSERVICIOS,TOTTUS,SS Y HH ,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,686,745,0,3240,0
REGION MODERNO,AUTOSERVICIOS,MAKRO,CASH Y CARRY,VERTICAL,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,490,383,0,1381,0
REGION MODERNO,AUTOSERVICIOS,TOTTUS,SS Y HH ,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,1.750 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,9,9,0,101,0
REGION MODERNO,AUTOSERVICIOS,TOTTUS,SS Y HH ,MODERNO,SPRITE SIN AZuCAR,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,ABRIL,0,0,0,5,0,238,0
