FECMIG;DIVISA;IMPORTE;NOMBRE EPIGRAFE;GRUPO;TIPO SALDO;AREA
31/12/2018;PEN;166.99;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;21.27;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;1.86;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;0.01;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;0.01;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;38727.15;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;44914.15;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;0.4;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;0.4;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;26281.94;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;25830.43;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;6058.55;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;6061.07;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;1.51;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;1.52;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;38.17;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;38.17;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;127.25;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;98.63;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;2.55;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;2.55;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;1.88;CONTIAHORRO PERSONAS NATURALES     ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;1.89;CONTIAHORRO PERSONAS NATURALES     ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;69221.76;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;69420.83;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;35.05;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;4.21;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;7006.3;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;3419.91;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;4093.03;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;6511.86;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;1603.73;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;1413.9;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;52286.25;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;USD;57306.56;AHORRO CERO MANTENIMIENTO          ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;38393.1;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;39084.87;CUENTA GANADORA                    ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;6.78;CTA INDEPENDENCIA                  ;1.RECURSOS DEL CLIENTE   ;SALDO_MEDIO    ;1664 - S.AREA BCA MINORISTA   
31/12/2018;PEN;6.78;CTA INDEPENDENCIA                  ;1.RECURSOS DEL CLIENTE   ;SALDO_PUNTUAL  ;1664 - S.AREA BCA MINORISTA   
